id,name,username,created_at,description,public_metrics,verified
1076104328077864961,Detect,DetectTest,2018-12-21T13:17:19.000Z,"Building tools that empower people to understand their health and make informed, timely decisions.",3417,34
1270906326823186432,Will,WClementeIII,2020-06-11T02:31:01.000Z,Investing & stuff | Co-founded @reflexivityres (acq. by @defitechglobal) | Using @velodata,721334,9677
2951101482,Texas Medical Center Innovation,TMCInnovation,2014-12-30T00:07:51.000Z,Building a community of healthcare innovation in the world's largest medical city.,6095,279
1537049692609327104,0xMist 🌱,mistdev3,2022-06-15T12:30:05.000Z,"🌱 @getgrass_io the Data Layer of AI 🌱

Grass: https://t.co/zsF8CRVin4

Airdrops: https://t.co/Gim7EpuxVw",347,0
1577290996026511360,arndxt,arndxt_xo,2022-10-04T13:36:02.000Z,"Slumbered into the depths of 🥩 | 🍄 | 🧠 | @plumenetwork

Digging into alpha at Threading on the Edge 

👉Find TG alpha: https://t.co/LZey0AcSFc",30550,1102
7863032,Roberta Greenfield,Greenfield,2007-08-01T00:10:43.000Z,🎥 Advertising and so on.,402,34
1405121796341334016,Polygon Ecosystem,0xPolygonEco,2021-06-16T11:16:24.000Z,"Supporting projects in the Polygon ecosystem. 

| @0xPolygon - All things Polygon
| @0xPolygonFDN - Protocol & Governance
| @0xPolygonDeFi - DeFi",200582,843
1253819169667198977,SelectFew,SelectFew,2020-04-24T22:53:00.000Z,"Build epic marketing systems in under 48 hours. Design data-driven strategy, match with 1% experts & agencies, scale, change the world.",2840,19
1384661320289640448,PartyDAO,prtyDAO,2021-04-21T00:12:49.000Z,"Making crypto multiplayer. Creator of https://t.co/Hn3oarpEQe – Your group, onchain.",33202,749
223671790,Kumar Garg,KumarAGarg,2010-12-07T01:04:31.000Z,"8 yrs @WHOSTP44, 7 yrs with @EricSchmidt, now leading @RenPhil21. Always working to advance science and tech through philanthropy, policy, and partnerships.",41856,208
1059819709758083073,dylsteck.eth (on farcaster),Dylan_Steck,2018-11-06T14:48:04.000Z,"building products @neynarxyz, hacking @ https://t.co/mcXhJD2DFP | @withcortex",1360,39
28112058,Avis Car Rental,Avis,2009-04-01T14:10:22.000Z,"Plan with confidence. Because for 75 years, we've only had one plan. To make sure you keep yours. For customer support DM or chat with us at 1-800-352-7900.",45927,472
1636288561,Spencer Applebaum,SpencerApplebau,2013-07-31T19:50:51.000Z,Investment Partner @multicoincap opinions are my own / not a solicitation / not an offer for investment advisory services https://t.co/vqCL2J4gaj,7366,211
124312980,7sent,7Sent_,2010-03-19T00:26:22.000Z,PERFECT10. I Make Beats. I Do Dope Things. $KPOP Stan,2952,11
1478109975406858245,Lens Protocol,LensProtocol,2022-01-03T21:04:24.000Z,An open social network.,418868,2017
973655229676838918,Ether Capital Corp.,ethcap,2018-03-13T20:21:11.000Z,A public technology company focused on staking and infrastructure that supports the Ethereum ecosystem. (NEO:ETHC),2706,67
1280404503489990656,Aria,rolllikearock,2020-07-07T07:33:25.000Z,,1274,5
1679069642151608320,SaberDAO,The_Saber_DAO,2023-07-12T10:07:06.000Z,"SaberDAO, running Saber DEX: https://t.co/8OiwXu8stb

Join the Saber DAO discord here: https://t.co/ZMubof1Emg",1065,17
1459521187390767104,Chandan,chandan1_,2021-11-13T14:01:45.000Z,"@M31Capital Researching the frontier in Layer 1/2s, DeFi, and modular ecosystems.",390,3
15998113,JMU,JMU,2008-08-26T15:46:19.000Z,Official Twitter account for James Madison University. #GoDukes,67188,315
1467726470533754880,Next.js,nextjs,2021-12-06T05:24:11.000Z,The React Framework – created and maintained by @vercel.,172242,1156
1687365622165078017,Edge,EdgeAGI,2023-08-04T07:31:38.000Z,A research & development organization advancing edge intelligence and open-source tech for the sovereign individual,1132,19
2803191,Intel,intel,2007-03-29T07:22:48.000Z,"Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport",4887390,14456
15078790,⚡️Harry Kalogirou,harkal,2008-06-10T22:43:02.000Z,"Professional over-thinker, and chief over engineer. My life is a series of awkward moments punctuated by poorly timed jokes.",1312,35
751560747566510081,Snap Inc.,Snap,2016-07-08T23:37:00.000Z,"Snap Inc. is a technology company. We make @Snapchat, @SnapAR, and @Spectacles.",85714,516
1411355143040344070,MAGIC Fund,backedbymagic,2021-07-03T16:04:32.000Z,Global early-stage fund built by founders for founders,477,9
1443993685209673729,Dr. Kat Lindley,KLVeritas,2021-10-01T17:38:32.000Z,Physician. President @GlobalHProject Director https://t.co/avsvD21UT9,144219,473
1777248204649807872,Drift Foundation,DriftFDN,2024-04-08T08:13:02.000Z,"The official Drift Foundation account powering the Drift Ecosystem. 

Accelerating the future of DeFi trading.",14234,58
1499556419279867904,0xbe1 | buidling @ThalaLabs,_0xbe1,2022-03-04T01:25:01.000Z,buidling @ThalaLabs | prev. @MessariCrypto @twitter @google @amazon,851,13
1498029602261905408,Backpack 🎒,Backpack,2022-02-27T20:17:48.000Z,"Next level crypto wallet and exchange. 

Download https://t.co/Je8Y1zHFal
Sign up https://t.co/aKt12ee8WX
Apply https://t.co/0Fweem5xgT",242379,850
1329449027419639809,Hideki Tsukamoto,TsukamotoHideki,2020-11-19T15:39:01.000Z,"Procedural Creator and Generative Artist.
Representation: ek@distancefields.io",11553,297
1617241561166934016,IranUnchained,UnchainIran,2023-01-22T19:23:38.000Z,"IranUnchained is an NGO with the mission of overthrowing the Islamic Republic and establishing a secular government in Iran aligned with “Woman, Life, Freedom.""",846,5
899962415135297538,Rafi_0x,Rafi_0x,2017-08-22T11:52:15.000Z,crypto gem hunter & on-chain enjoyooor,30796,922
838673862,Airbnb Engineering,AirbnbEng,2012-09-21T22:39:28.000Z,Creative engineers building a world where you can belong anywhere. @AirbnbData @AirbnbDesign IG: https://t.co/GOlGGQj7c1,54862,1216
1850734218,Wyatt Lonergan,Wyatt_Lonergan,2013-09-10T08:01:18.000Z,Head of @Circle_Ventures | investing in the future of crypto with @circle and #USDC. @LFC Fan #YNWA,1640,28
4398626122,OpenAI,OpenAI,2015-12-06T22:51:08.000Z,OpenAI’s mission is to ensure that artificial general intelligence benefits all of humanity. We’re hiring: https://t.co/dJGr6LgzPA,3465538,19843
1669446322145853441,Alliance Intern,Alliance_Intern,2023-06-15T20:46:48.000Z,"zero-time founder 👌, tokenomics expert 🎰. Gregging for Alliance.",34,0
16477634,Pavel Durov,durov,2008-09-27T00:12:22.000Z,"Founder, CEO at @telegram (2013), founder, ex-CEO of @vkontakte (2006), part-time troll.",1390337,4624
3081376528,Trent McConaghy,trentmc0,2015-03-09T10:44:49.000Z,"Founder @OceanProtocol & @ASI_Alliance, focusing on @Predictoor_ai. AI, data, Web3. bci/acc 🌞👨‍🎤",36197,1098
1489375699941085184,American Industrial Dynamism,MoreFactories,2022-02-03T23:11:10.000Z,Restoring the industrial base of the United States by helping people start companies and build their careers in manufacturing technology. Join us! 👇,1539,28
1424047853715001349,Chris Koerner,mhp_guy,2021-08-07T16:40:45.000Z,"Buying 2 RV parks per month & growing my 7 company holdco to $100m.

Listen to The Koerner Office! A top 50 entrepreneurship podcast: https://t.co/vaK3qXkf62",84763,799
1159846961530515456,North Island Ventures,NorthIslandVC,2019-08-09T15:20:39.000Z,NIV is a crypto-focused investment firm co-founded by @travisscher @0xHutch and Glenn Hutchins,2048,69
20524105,NJBIZ,NJBIZ,2009-02-10T16:34:32.000Z,All Business. All New Jersey.,19921,735
232132831,Eunice | Monad,0x_eunice,2010-12-30T09:42:27.000Z,"Cofounder/COO @monad_xyz (we’re hiring!), prev @mit @bwaytech @shutterstock @bankofamerica",3845,56
948773565687566336,Taylor Sterling (Archaically Revived),FatherMcKennaa,2018-01-04T04:30:20.000Z,"bringing fire to the people // psychedelic history, culture, & harm reduction",36687,194
1305119080656113664,Xend Finance ($RWA),xendfinance,2020-09-13T12:20:35.000Z,"Backed by @binance and @google, Xend Finance is the first universal framework and blockchain for worldwide assets tokenization and on-chain management.",71907,261
1458488374898069512,UselessCrypto,UselessCrypto,2021-11-10T17:35:14.000Z,In-depth project reviews and a very unique take on cryptocurrency events... Never Financial Advice 📩 DM for enquiries,60751,402
814155594,Lisa Grimm,grimmtidings,2012-09-10T00:33:15.000Z,Building @roux__xyz. Food and tech. And more food and more tech.,137,2
14697121,callil◡,_callil,2008-05-08T06:40:20.000Z,@uniswap,4952,146
1721370594611208192,NGAD,NGADfuture,2023-11-06T03:35:16.000Z,"Pioneering the future of asset growth and unlocking the potential of the on-chain economy. Incubating @Equilibriafi,@euclidfi, @artemisfinance",660,7
46947076,Colin Choo,colinchoo,2009-06-13T19:29:06.000Z,Investor | Ex-Ajaib Head of Crypto | Ex-BCG | Advisor @virtuals_io Member @arcthecommunity,420,6
889455645837201409,palmer,bitcoinPalmer,2017-07-24T12:02:06.000Z,Luke 11:9 **** 🦍@weetardsdao @pleasrdao 👼investooor @paralleltcg @lavanetxyz @blur_io @antimetalcloud @arguslabs_ @ohbabygames  @mrkl_n4e *** Top 5 degenscore,34893,484
13058772,LinkedIn,LinkedIn,2008-02-04T18:22:01.000Z,"Welcome to a world of career opportunities, advice, inspiration and community. #FindYourIn | Support → @LinkedInHelp",1812864,17225
216030559,University of Pennsylvania Carey Law School,pennlaw,2010-11-15T16:18:58.000Z,Official account of the University of Pennsylvania Carey Law School. Training lawyers through dynamic legal education for an interconnected world since 1850.,16082,319
1262411841868713986,Max Berry,yashgaroth,2020-05-18T15:57:01.000Z,Biology guy. Designer babies and DNA synthesis,176,0
1659324699397038083,ALIAS,LoadingALIAS,2023-05-18T22:27:03.000Z,"👨🏻‍💻 Master of WSABI Labs 💾 Privacy Operative 🫀 HUMAN  📉 GPU Poor 
🐥 DuckyScriptorrr",366,2
29742740,Faizan Ali,faizanali94,2009-04-08T15:41:43.000Z,CTO @ Starcast. Olive Oil Somm. Finally getting active on Twitter. 500 Startups B16.,48,0
1513752738546524165,Anto,blocksek,2022-04-12T05:36:05.000Z,"Security Eng @eigenlayer , prev @coinbase @buildonbase",694,7
1595175422152646657,Andy G,andygmove,2022-11-22T22:00:50.000Z,devrel @movementlabsxyz,221,3
1665133896219136000,Ekubo,EkuboProtocol,2023-06-03T23:10:41.000Z,"The most powerful AMM ever on @Starknet

Swap and provide liquidity at https://t.co/2VIXnO28Tl",23391,319
260394566,Foresight Institute,foresightinst,2011-03-03T20:15:38.000Z,"Advancing science and technology for long-term, flourishing futures by creating community, promoting beneficial uses, and reducing potential misuse and harm.",8229,245
2263500732,Abundance360,Abundance360,2013-12-27T00:08:34.000Z,"Where Visionary Entrepreneurs, Investors, and Executives Meet to Solve the World's Biggest Challenges

Curated by @peterdiamandis",3873,53
1186935469570973702,Not Boring,notboringco,2019-10-23T09:20:50.000Z,Making the world more optimistic.,17819,253
1623328814943072257,Phoenix Labs,phoenixlabsdev,2023-02-08T14:32:16.000Z,Phoenix Labs is a R&D company specialised in smart contract development for DeFi protocols,919,16
1448253975980126209,Cerebrum DAO 🧠,Cerebrum_DAO,2021-10-13T11:47:57.000Z,"Accelerating solutions & cures to neurodegeneration and advancing brain longevity. #DeSci

Brains helping Brains! 🧠",1508,52
1324539794794278912,Arcade,Arcade_xyz,2020-11-06T02:31:22.000Z,"The leading protocol for NFT lending.    
Discord: https://t.co/1NiPMDuyxh",24372,305
1482834828995272708,Charisma_Social,Charisma_Social,2022-01-16T21:59:14.000Z,Find what you like based on who you are.  🦇🔊,300,6
1443547753825640455,James Hutchins,0xHutch,2021-09-30T12:06:36.000Z,"Co-Founder, Managing Partner @NorthislandVC",619,14
211258879,Iowa State University,IowaStateU,2010-11-02T19:23:18.000Z,The official Twitter account for Iowa State University. Have questions? Just ask: contact@iastate.edu.,48752,411
1532281329496248321,Rektguy,rektguyNFT,2022-06-02T08:42:05.000Z,An art project celebrating rekt culture // Join https://t.co/fz9quZ1pTm // Built by @CanaryLabsXYZ,33547,145
19775248,VERISIGN,VERISIGN,2009-01-30T16:41:30.000Z,A global provider of domain name registry services and internet infrastructure.,44857,927
1332660512,Trevor Gale,Tgale96,2013-04-06T22:55:47.000Z,Research Scientist @ Google DeepMind | PhD Candidate @ Stanford CS,1343,17
189769306,Zain Manji,ZainManji,2010-09-12T04:53:20.000Z,"Canadian Tennis Player • Co-Founder at @Lazer_HQ, @SuperchargedSMS (Acquired), @FiixMechanics (YC W17, Acquired)",4967,0
106109075,Magic Leap,magicleap,2010-01-18T14:43:55.000Z,Pioneering a wearable augmented reality platform to amplify enterprise productivity.,92095,1498
962091088533221376,Alyssa Choo,alyssachoo_,2018-02-09T22:29:25.000Z,"Crypto Equities Specialist @BitwiseInvest 📈| Previously, @BankofAmerica sell-side research | Economics @barnardcollege",3215,56
1204315977720221696,Token Terminal,tokenterminal,2019-12-10T08:24:50.000Z,Fundamentals for crypto. Available also on the Bloomberg Terminal App Portal at APPS TOKEN GO.,118492,1994
1374003455195545601,Darius Dale,DariusDale42,2021-03-22T14:22:21.000Z,42 Macro LLC — the leading Macro Risk Management service on Global Wall St. advising on trillions in client AUM. Not investment advice.,81062,1969
868473812064403456,ちきん,chicken_021991,2017-05-27T14:27:47.000Z,絵を描いて生きています。反応できないときがあるのすみません。ログアウトしてます。,13136,105
1754288631013933056,Mezo 🛬 Hong Kong,MezoNetwork,2024-02-04T23:39:55.000Z,A Bitcoin Economic Layer. Put your bitcoin to work and use it for everything. HODL with a purpose. Discord: https://t.co/Yexwi4GVqx,10827,174
1697989552642699264,Alisia Painter (btc/evm/acc),alipaints,2023-09-02T15:07:25.000Z,"""like alicia keys"" mama spider 🕷 @botanixlabs + og eth gyal (since '15) 💅 ✨ | ex @harvardhbs @fireblockshq @adobe | emerging mkts, music, wibes, #bitcoin",4244,6
813286,Barack Obama,BarackObama,2007-03-05T22:08:25.000Z,"Dad, husband, President, citizen.",131779121,213594
1552378476560355331,Jito,jito_sol,2022-07-27T19:41:00.000Z,Earn MEV rewards through Jito's Solana Liquid Staking pool.,71129,479
2363942401,Ambush,Ambush,2014-02-27T09:52:54.000Z,AI studio. We build products that crypto users love,10853,92
1276585698322235392,Gather 🍇,gather_town,2020-06-26T18:38:57.000Z,Virtual spaces that bring the best of in-person work to distributed teams.,14328,171
1374085171994066946,pote.eth,willpote,2021-03-22T19:46:51.000Z,"prev: @Uniswap, team tstore",551,8
57544252,Flying Mountain,rafexu,2009-07-17T03:51:24.000Z,"lifetime learner, tech stock and crypto investor",397,9
1484577159922470912,OnlyDust,OnlyDust_com,2022-01-21T17:23:04.000Z,Contribute to the best open-source projects.,8374,130
1695205959449333761,bribe,bribehaus,2023-08-25T22:46:20.000Z,ultra secret highly confidential project ~ coming soon to a chain near you,828,25
1455964156251750400,Monkey Baby Business (MBB),MonkeyBabyBiz,2021-11-03T18:24:49.000Z,"3,000 generative monkey baby NFTs that offers a suite of data driven platforms for Solana NFT minters, traders, and investors. https://t.co/EAQvtlmiie",6219,39
2777355111,Galerie Madé,GalerieMade,2014-09-20T04:26:58.000Z,Galerie Madé is a contemporary art gallery focused on the representation of artists specialising in photo-based art.,175,8
1257909291530379264,XReg_Consulting,XReg_Consulting,2020-05-06T05:45:52.000Z,A global specialist in the ever changing regulatory landscape that exists for the growing DLT and cryptoasset industries.,205,4
944292901558812672,Dimitar | IPOR Labs,DimitarDinev7,2017-12-22T19:45:46.000Z,"Research & Innovation in DeFi, co-founder @ipor_io  Views are my own ⚛️",3836,26
15168790,Tufts University,TuftsUniversity,2008-06-19T12:41:01.000Z,Tufts is a student-centered research university committed to helping students and faculty generate bold ideas. Retweets do not imply endorsements.,53435,1118
3406202350,0xSal (🍲) 萨粒,sal_hotpot666,2015-08-06T19:32:58.000Z,larp @Oakgrovevc & cooking @hotpotdao888,9617,229
841424245938769920,Basic Attention Token (BAT),AttentionToken,2017-03-13T23:02:27.000Z,BAT – the crypto asset for the new Internet economy. Blockchain-based digital advertising.,267327,2494
19720630,Rice University,RiceUniversity,2009-01-29T17:07:54.000Z,"At Rice, we are in constant pursuit of wisdom and commit ourselves to endless exploration.",51152,755
1250424920372174853,Superteam,SuperteamDAO,2020-04-15T14:05:20.000Z,"a community of founders, devs & grantees working on promising @solana projects || no token, no treasury, just an online community",53532,429
909853832888356864,Cumberland,CumberlandSays,2017-09-18T18:57:12.000Z,A global leader offering 24/7 access to deep crypto liquidity. Not investment advice.,29147,642
1766819044273917952,Compubutton,compubutton,2024-03-10T13:31:31.000Z,Easily add AI to websites.,269,0
814828042501713920,Ruben 🪨,xxi_eth,2016-12-30T13:38:38.000Z,Lead Builders Network & GP Axl Fund of Funds | - I spend time with Founders @protocollabs @ipfs @libp2p @filecoin,1502,36
1643007709636173826,offx.tech,OffxTech,2023-04-03T21:49:14.000Z,Building the center for the next generation of private markets in crypto,561,8
1524115043188502533,OCM DAO,ocmdao,2022-05-10T19:52:48.000Z,The official Twitter account for @OnChainMonkey DAO. Join the OCM Discord to discuss and vote: https://t.co/Aoury0AiOi,1124,5
1326276335778607109,LedgArt (Wonky Stonks),Ledgart_io,2020-11-10T21:31:48.000Z,Wonky Stonks is the 1st installment of the LedgArt Project. || OpenSea: https://t.co/8sNezhom6z,32799,287
536499915,✰jacq🐄,jacqvaca,2012-03-25T15:47:16.000Z,"🌈🪶✨ •
music, movement, magic •

community futurist for human action • culture hacker  • 
 @__GENRE",1795,25
1203333681248702465,Vocdoni 🗳️ Blockchain Voting,vocdoni,2019-12-07T15:21:47.000Z,"Open-source blockchain voting protocol that is scalable, auditable, censorship-resistant & anonymous 🗳 https://t.co/1JrIv5eVPF",2258,73
965308219743789056,mary,howdymerry,2018-02-18T19:33:08.000Z,"notorious blockchain enjoyer | prev galaxy digital, brookings, schwarzman, columbia | views are my own, obviously",2946,40
18080144,"Osler, Hoskin & Harcourt LLP",Osler_Law,2008-12-12T17:03:28.000Z,Leading Canadian business law firm committed to our clients’ success | Chef de file canadien en droit des affaires engagé envers le succès de nos clients,8068,300
4652435852,Misha Saul,misha_saul,2015-12-26T01:32:01.000Z,Know the element of irreducible rascality in yourself ✍️Kvetch,7539,25
3974229832,Matthew Potts,matttpotts,2015-10-16T19:21:44.000Z,Trading/Research @coinfund_io NFA/DYOR,205,4
1576043322686115840,Primodium,primodiumgame,2022-10-01T02:56:45.000Z,the whole game is onchain · play: https://t.co/FOziBAz2hO docs: https://t.co/94NKZ2j4rI,3890,91
1481123665747984384,Portal,portal_hq,2022-01-12T04:39:44.000Z,"Embedded blockchain + stablecoin infrastructure | Powering cross border payments, remittances, and web3 use cases https://t.co/QmweEAjl3q",1239,15
1709386366025646080,Moonwalk Fitness,moonwalkfitness,2023-10-04T01:54:50.000Z,Gamify your Fitness Journey,21052,49
16745055,Roblox,Roblox,2008-10-14T20:20:20.000Z,Reimagining the way people come together.,7536620,3702
1621531351928442881,Unlayered,UnlayeredPod,2023-02-03T15:29:43.000Z,The leading independent podcast covering @Solana and next-gen blockchains || Hosted by @salxyz & @SolBeachBum,1650,28
20402945,CNBC,CNBC,2009-02-09T00:03:41.000Z,First in business worldwide.,5208575,41400
1558844477892345858,dunston,dunstonlol,2022-08-14T15:55:02.000Z,buyer of bottoms and occasional onchain provocateur,565,11
793023,Suhail,Suhail,2007-02-24T22:17:47.000Z,"Founder: @playground_ai,  @mixpanel
Pizzatarian, programmer, music maker",295931,3272
1559505543315742722,Stratagems.world,stratagems_eth,2022-08-16T11:42:07.000Z,"Stratagems is a permissionless and persistent game world whose map, created by players is used to build  new games on top.

Built by @etherplay / @wighawag",440,14
1642045101772816384,snowball tools,snowballtools,2023-04-01T06:04:13.000Z,beep booping mobile first infrastructure,921,21
1272552541306392576,Flowdesk,flowdesk_co,2020-06-15T15:33:20.000Z,"Full-service digital asset trading and technology firm.
Market Making - OTC Trading",3791,0
1093756703084953602,Karl,karl_xbt,2019-02-08T06:21:33.000Z,"Full Time Trader  |  Charts & TA  |  Class of 2016  |  Running @Alphacoiners

Follow  👉  https://t.co/dQTNx34dz6  +  https://t.co/AdN0PKC3wa

Building @Kairos_DAO  🏛",20664,75
124375850,David Choi 🏧,0xZergs,2010-03-19T05:52:28.000Z,"Building @metastreetxyz, angel investing, @pleasrdao | Prev: MEV sniper, Deutsche Bank, art lending, USC (art history)",10306,127
324231965,Francis,Francis_Berwa,2011-06-26T07:08:19.000Z,@zkPass |  @aves_lair | Emerging Markets | All things Laissez-Faire,637,3
1503447723135180805,TOPIA,TopiaTV,2022-03-14T19:09:10.000Z,PLEASE STAND BY.,4797,47
274788446,Intercom,intercom,2011-03-31T01:21:28.000Z,"There's a new way to do customer service.

Need support? 👉  @intercomsupport or https://t.co/LxQhosfXpH",43521,1286
1612592231940255744,Gitcoin Grants Stack,grantsstack,2023-01-09T23:29:03.000Z,@Gitcoin's Grants Stack: your complete solution for grants program management. Home of: ✨Builder ✨Explorer ✨Manager,13566,34
1422792500348030978,Reservoir,reservoir0x,2021-08-04T05:32:42.000Z,"NFT Trading Infrastructure • Build buying & selling into your app

Get Started → https://t.co/QkRmnpvElI
Need Support? → https://t.co/QVX6oriRY9",9377,124
14243237,Cedric Chin,ejames_c,2008-03-28T12:37:59.000Z,"Writes https://t.co/jDXGXZVHqH. Tweets about books & the art of business, from the perspective of an operator. https://t.co/8gO6sUlhUM",10169,0
1289465468034506753,Cozy 🦥,cozyfinance,2020-08-01T07:38:47.000Z,"Keep your crypto cozy 😌 Protection against hacks, exploits, and more.",12300,248
1384661320289640448,PartyDAO,prtyDAO,2021-04-21T00:12:49.000Z,"Making crypto multiplayer. Creator of https://t.co/Hn3oarpEQe – Your group, onchain.",33202,749
